,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2019-04-16 00:33:44,31.363 sec,0.0,,,,,,,,,,
1,,2019-04-16 00:33:44,31.423 sec,1.0,0.319915667609812,3.1699835234336793,0.7584984755555619,6.732655064176546,0.1106253563961224,0.3248387553167584,3.313940058819893,0.7350801416845802,4.599800193577445,0.11278792692613185
2,,2019-04-16 00:33:44,31.495 sec,2.0,0.3150660645975115,2.8370327963506536,0.7563720162071413,8.046746588693958,0.11621761360372264,0.28448785223385503,1.5224703713826917,0.819250028028728,5.38265739492848,0.1181890389197776
3,,2019-04-16 00:33:44,31.579 sec,3.0,0.30999376903302645,2.571915908759259,0.7645292477905984,8.602020055271451,0.11647346787973953,0.2722847820030832,0.927523822613651,0.8529029315233857,5.839397250108223,0.13566322478157267
4,,2019-04-16 00:33:44,31.676 sec,4.0,0.3055237128796009,2.232521181174057,0.7846055063333824,8.80626856324924,0.12929259655768754,0.26715830091503945,0.6108340722474725,0.882832621651079,6.012416427889207,0.10643367752184273
5,,2019-04-16 00:33:45,31.782 sec,5.0,0.29862422065988936,1.9640024267807028,0.8045707747979756,8.892725617867395,0.13252176592957854,0.26095092293607036,0.4761231108738084,0.9002795449670387,6.526636253958679,0.11167593328038125
6,,2019-04-16 00:33:45,31.906 sec,6.0,0.2901889737474365,1.6567341494627632,0.8245836311154287,8.909567901234567,0.1243459868640766,0.25840219214282384,0.37760637840816014,0.909706412512229,6.623052471346705,0.11564733915806195
7,,2019-04-16 00:33:45,32.053 sec,7.0,0.2825901366151081,1.4098866381093489,0.8408325484471103,8.909567901234567,0.12228917836394472,0.2548358781861062,0.31788982026395096,0.9190535453653282,6.341220451289399,0.10277998411437649
8,,2019-04-16 00:33:45,32.195 sec,8.0,0.2772996872098388,1.1900611216786197,0.8552135869916642,8.909567901234567,0.11940986629783311,0.25272346078608443,0.2748303299991681,0.9236496168383288,6.728180288352208,0.10532168387609214
9,,2019-04-16 00:33:45,32.347 sec,9.0,0.2806630813879518,1.0820177207260977,0.8571944274884264,8.909567901234567,0.1118846694796062,0.25357204639832787,0.2582041366673468,0.9208544231380604,6.501799160391816,0.10722795869737888
10,,2019-04-16 00:33:45,32.515 sec,10.0,0.27503290957571536,0.9289576454846808,0.8637824705362127,8.909567901234567,0.11010906040268456,0.25160939643397057,0.25016398044938587,0.924733778277659,6.388192454632283,0.09928514694201747
11,,2019-04-16 00:33:45,32.685 sec,11.0,0.2700956434934049,0.7874810178341753,0.8733845403841969,8.909567901234567,0.10697868783953197,0.25071826627616267,0.24384303663409868,0.9255109035591622,6.298721972074407,0.10309769658459095
12,,2019-04-16 00:33:46,32.874 sec,12.0,0.266008100502505,0.6827428413228618,0.8811864663196778,8.909567901234567,0.10469439521873589,0.2496869185812736,0.23168358203315265,0.9285684666314794,6.012416427889207,0.10405083399523431
13,,2019-04-16 00:33:46,33.054 sec,13.0,0.2630807654586923,0.6118137992104719,0.8884136832259495,8.909567901234567,0.10319691762990732,0.248977166004951,0.22535687883527047,0.9291025482849234,6.521159356402909,0.10643367752184273
14,,2019-04-16 00:33:46,33.253 sec,14.0,0.26090996894956886,0.5501294171313507,0.8944816999633551,8.909567901234567,0.10279887628758715,0.24831469811493886,0.21825249702320254,0.9308358499462206,6.298721972074407,0.10023828435266084
15,,2019-04-16 00:33:46,33.463 sec,15.0,0.2587951420536669,0.4970027304592135,0.9001612263787444,8.909567901234567,0.10228139518757368,0.24767165415570955,0.21243296086749586,0.9309864883612947,6.298721972074407,0.10087370929308975
16,,2019-04-16 00:33:46,33.678 sec,16.0,0.2573660493350832,0.4624313982405363,0.9031313989102331,8.909567901234567,0.1003743241369749,0.24748371379814618,0.211938945760773,0.9312221088559006,6.730316896890904,0.10309769658459095
17,,2019-04-16 00:33:47,33.917 sec,17.0,0.2556727596921903,0.4138957100329622,0.9090431797592544,8.909567901234567,0.101004851004851,0.2480304319422084,0.2070849357654468,0.9317453117792842,6.4418747441670074,0.09960285941223193
18,,2019-04-16 00:33:47,34.146 sec,18.0,0.25421534174127486,0.3890287664449962,0.911408333501977,8.909567901234567,0.09926547016838749,0.2472802923080351,0.20087384335352024,0.933166713850492,6.298721972074407,0.10119142176330422
19,,2019-04-16 00:33:47,34.410 sec,19.0,0.25300050445234695,0.36485792972182873,0.9143532670882265,8.909567901234567,0.09759223973670535,0.2467318241676102,0.1995814040875208,0.9337569809450723,6.298721972074407,0.10166799046862589
20,,2019-04-16 00:33:47,34.662 sec,20.0,0.2522402194110093,0.34648782885473833,0.9161281691626849,8.909567901234567,0.09748493036790688,0.2461275420981739,0.1985905775362766,0.9344185357178145,6.728180288352208,0.09976171564733916
21,,2019-04-16 00:33:48,34.929 sec,21.0,0.2514479687818002,0.3270961921163674,0.9176926127784956,8.909567901234567,0.0989399293286219,0.24576134966885824,0.19292848978790422,0.9360402344071962,6.728180288352208,0.10182684670373313
22,,2019-04-16 00:33:48,35.215 sec,22.0,0.2505649865807403,0.3117074579135137,0.9199561498593731,8.909567901234567,0.09810850135107047,0.24569849214302933,0.19267160296645724,0.9361151056670248,6.558999739515499,0.1023034154090548
23,,2019-04-16 00:33:50,36.862 sec,50.0,0.24176605870213766,0.1943214407892545,0.9380047964940526,8.909567901234567,0.09408667336404891,0.24082708805909736,0.18371436736889438,0.9410700472469645,7.157638604630008,0.09070691024622717
