,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2019-04-16 00:33:07,34.112 sec,0.0,,,,,,,,,,
1,,2019-04-16 00:33:07,34.274 sec,1.0,0.3347717686682857,3.7141771108867845,0.7216558343944539,7.225917208398715,0.11935240963855422,0.33671551958257984,3.752161857463171,0.7275030422048652,4.338902262277604,0.117077045274027
2,,2019-04-16 00:33:07,34.394 sec,2.0,0.3231290924009451,3.219056318197413,0.7480108007312845,8.593280673719415,0.12118445826439209,0.2898004052061118,1.8146226169917419,0.8153237023722798,5.2053806657564285,0.12359015091342335
3,,2019-04-16 00:33:07,34.506 sec,3.0,0.31691654289671967,2.882849254571529,0.7614485328303721,8.819637150969763,0.12489042675893887,0.2728384886511618,1.1104231489642964,0.8592111871228599,5.477569567739554,0.14011119936457506
4,,2019-04-16 00:33:07,34.650 sec,4.0,0.30854936176259307,2.5012761990991392,0.7819608769522755,8.876751813200555,0.12829191777429208,0.26588666692454005,0.7650595557412833,0.8800712160065284,6.243663213577253,0.10548054011119937
5,,2019-04-16 00:33:07,34.782 sec,5.0,0.2981667615460805,2.15924897085078,0.8021566791336749,8.909567901234567,0.12361581051984005,0.26139394703771174,0.5473074107948047,0.8960847066556838,7.188758772476226,0.11691818903891978
6,,2019-04-16 00:33:07,34.914 sec,6.0,0.29172938582466584,1.8916084309451715,0.819608531780916,8.909567901234567,0.11138202371716724,0.25939926365374927,0.4901644602010663,0.9014810687059636,6.864923234828722,0.12279586973788721
7,,2019-04-16 00:33:08,35.050 sec,7.0,0.28591136825594743,1.644020219874765,0.82878862374092,8.909567901234567,0.12190634244895014,0.25633897752904516,0.41234257794602397,0.9076216638774456,6.380523556127322,0.12454328832406672
8,,2019-04-16 00:33:08,35.204 sec,8.0,0.28094343363037744,1.4407209361067832,0.8402118926308949,8.909567901234567,0.1217518040595784,0.2553362115542608,0.3760632063372912,0.9108937299095452,6.822785598604709,0.11358220810166798
9,,2019-04-16 00:33:08,35.339 sec,9.0,0.2762480526080268,1.2640477116611157,0.8514287775460913,8.909567901234567,0.12081836749066836,0.2535377872068549,0.34889270400716227,0.9155125827231432,7.233688514804203,0.11898332009531375
10,,2019-04-16 00:33:08,35.511 sec,10.0,0.27211473556141424,1.104406430215985,0.8586652677052211,8.909567901234567,0.10746404451132029,0.2520105656879883,0.3277890039892417,0.918219594717391,7.237167922459231,0.10563939634630659
11,,2019-04-16 00:33:08,35.678 sec,11.0,0.26962645029666593,0.9993758417803316,0.8663882168262824,8.909567901234567,0.10641709365959079,0.250882930534932,0.31123567627715665,0.9204931213149902,7.468548531518625,0.1062748212867355
12,,2019-04-16 00:33:08,35.846 sec,12.0,0.2669147062329855,0.8948033495621548,0.8750751309861132,8.909567901234567,0.11530835855160179,0.24967263008904167,0.29987102972555124,0.9223796210925521,7.559729479184224,0.10579825258141382
13,,2019-04-16 00:33:09,36.023 sec,13.0,0.26410019980249805,0.7834101159937276,0.8818149403765919,8.909567901234567,0.11296315588429351,0.24927142256467955,0.24691470667701143,0.9274936481014951,7.080041774897571,0.10913423351866561
14,,2019-04-16 00:33:09,36.215 sec,14.0,0.2621226443361355,0.6968004212905542,0.8888679535870214,8.909567901234567,0.1111997779474013,0.24893152414358527,0.23651953522618424,0.9295734053189567,6.871333060444808,0.11167593328038125
15,,2019-04-16 00:33:09,36.426 sec,15.0,0.2604565710541984,0.6277562035561872,0.8933320207069524,8.909567901234567,0.11297926922276919,0.24846256366317315,0.2257980891386879,0.930829962633482,7.119966822500377,0.10833995234312947
16,,2019-04-16 00:33:09,36.632 sec,16.0,0.25867241568848154,0.5662538086202824,0.8982730993390892,8.909567901234567,0.10974003466204506,0.24811880939931022,0.2248579570625174,0.9311802577414322,7.294475813247935,0.09896743447180302
17,,2019-04-16 00:33:09,36.837 sec,17.0,0.2577702990184092,0.5385800544103668,0.9004785547145167,8.909567901234567,0.10878530583954255,0.24755815811446225,0.21376040891604062,0.93286377321457,7.300791376722609,0.10277998411437649
18,,2019-04-16 00:33:10,37.029 sec,18.0,0.2563343758490954,0.510206852179712,0.9038468145989256,8.909567901234567,0.10825045912886794,0.24776221299603832,0.21411145700297182,0.9327460269597968,7.443944148815208,0.10325655281969817
19,,2019-04-16 00:33:10,37.248 sec,19.0,0.25525299999997325,0.4860251866537088,0.9063557335468844,8.909567901234567,0.1063335874159795,0.2474618300632381,0.21304427079589391,0.9332175239191278,7.443944148815208,0.1051628276409849
20,,2019-04-16 00:33:10,37.499 sec,20.0,0.2542234270551894,0.46012576760941165,0.9088439242231733,8.909567901234567,0.10546374250770883,0.24743803618085589,0.21323394863487366,0.932884506794215,7.261749711606446,0.10039714058776807
21,,2019-04-16 00:33:10,37.768 sec,21.0,0.25385459860455817,0.432534653309102,0.9116380151420543,8.909567901234567,0.10636086474501108,0.246994563138754,0.2128383659171225,0.9329593780540435,7.3194634774303395,0.10150913423351866
22,,2019-04-16 00:33:11,38.000 sec,22.0,0.25293719763074335,0.4033058264576219,0.9139620025668376,8.909567901234567,0.10600706713780919,0.24670363808247267,0.20819439545937873,0.933377761213667,7.300791376722609,0.10373312152501986
23,,2019-04-16 00:33:12,39.578 sec,50.0,0.2445109923377296,0.22565356515866372,0.9333231986229801,8.909567901234567,0.09536841375965635,0.24449965425997608,0.185253563295573,0.9389756997327161,7.300791376722609,0.09817315329626689
