,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2019-04-16 00:35:22,21.745 sec,0.0,0.31566013457613634,0.3511708234636403,0.5,1.0,0.8877611113035646,0.3139884606518381,0.34836395890577665,0.5,1.0,0.8891183478951549
1,,2019-04-16 00:35:22,21.908 sec,5.0,0.25434636291670204,0.22715563333070452,0.9627178631526259,8.909567901234567,0.0691793397304881,0.2659753841256205,0.24412565012813875,0.9381619707241856,6.4418747441670074,0.09706115965051629
2,,2019-04-16 00:35:22,22.115 sec,10.0,0.23027407911782194,0.1898159862821959,0.9672842818169687,8.878738946559015,0.0656458932344892,0.25160482178960314,0.21622318739580554,0.9405801204390605,7.014485832537408,0.0994440031771247
3,,2019-04-16 00:35:23,22.396 sec,15.0,0.21501921984722708,0.16570927851525152,0.9706277968307925,8.878738946559015,0.059098624727197145,0.24485580387183006,0.20007571490978102,0.9417217471701222,7.300791376722609,0.09515488482922954
4,,2019-04-16 00:35:23,22.684 sec,20.0,0.2057057993721686,0.1497566445657194,0.9734180156730917,8.878738946559015,0.055773028025080544,0.24247317721723266,0.19132246114385343,0.9422944803115463,7.014485832537408,0.0943606036536934
5,,2019-04-16 00:35:23,23.011 sec,25.0,0.1991389558760491,0.13895289516367804,0.9757344864863302,8.909567901234567,0.05113104929504278,0.2418010670331884,0.18676493351753065,0.9426968653387278,6.871333060444808,0.09626687847498014
6,,2019-04-16 00:35:24,23.362 sec,30.0,0.19448682832300218,0.13182990697035066,0.9775828517087737,8.878738946559015,0.04766688606367132,0.24209344131431138,0.1851902421857657,0.9427202866046228,6.728180288352208,0.10023828435266084
7,,2019-04-16 00:35:24,23.748 sec,35.0,0.19053627428488285,0.12657631411610093,0.9791181970982572,8.909567901234567,0.04673156199120103,0.24241462132935976,0.1847266703971818,0.9427452436912325,6.728180288352208,0.09642573471008738
8,,2019-04-16 00:35:24,24.163 sec,40.0,0.18737526184602032,0.12238403935278207,0.9804324576654541,8.909567901234567,0.04423736446461357,0.24270124914428748,0.18409816801481715,0.9429800962754812,7.014485832537408,0.09737887212073074
9,,2019-04-16 00:35:25,24.593 sec,45.0,0.183818803045087,0.11845925110786042,0.9818460299635753,8.909567901234567,0.042228149790418126,0.2431286777056246,0.18441645042142712,0.942856846663148,6.871333060444808,0.0965845909451946
10,,2019-04-16 00:35:25,25.067 sec,50.0,0.18049961000053907,0.11487732497597034,0.983177820026814,8.909567901234567,0.0409810510271244,0.2431761408579789,0.18437940388467922,0.9430323141797718,6.871333060444808,0.09515488482922954
11,,2019-04-16 00:35:26,25.527 sec,53.0,0.17894821447226725,0.11308927256806231,0.9837195603402469,8.909567901234567,0.038729344926732946,0.2436135887972501,0.18482656150704208,0.9427963097299874,6.871333060444808,0.09610802223987291
