,model_id,auc,logloss
0,StackedEnsemble_0_AutoML_20190414_165814,0.9472940000000001,0.198235
1,GBM_grid_0_AutoML_20190414_165814_model_0,0.946974,0.181429
2,GBM_grid_0_AutoML_20190414_165814_model_1,0.946447,0.181971
3,GBM_grid_0_AutoML_20190414_165814_model_2,0.9458,0.182295
4,GBM_grid_0_AutoML_20190414_165814_model_3,0.943258,0.18885
5,DRF_0_AutoML_20190414_165814,0.9413860000000001,0.189986
6,XRT_0_AutoML_20190414_165814,0.941285,0.185789
7,GLM_grid_0_AutoML_20190414_165814_model_1,0.933566,0.21306
8,GLM_grid_0_AutoML_20190414_165814_model_0,0.933566,0.21306
