,model_id,auc,logloss
0,StackedEnsemble_0_AutoML_20190415_082041,0.947361,0.197667
1,GBM_grid_0_AutoML_20190415_082041_model_0,0.94731,0.180567
2,GBM_grid_0_AutoML_20190415_082041_model_1,0.947158,0.180625
3,GBM_grid_0_AutoML_20190415_082041_model_3,0.944933,0.185551
4,GBM_grid_0_AutoML_20190415_082041_model_2,0.944907,0.184259
5,XRT_0_AutoML_20190415_082041,0.943269,0.18271500000000002
6,DRF_0_AutoML_20190415_082041,0.940374,0.191229
7,GLM_grid_0_AutoML_20190415_082041_model_1,0.933566,0.21306
8,GLM_grid_0_AutoML_20190415_082041_model_0,0.933566,0.21306
