,model_id,auc,logloss
1,GBM_grid_0_AutoML_20190415_152327_model_0,0.948108,0.179856
5,XRT_0_AutoML_20190415_152327,0.944372,0.182275
6,DRF_0_AutoML_20190415_152327,0.9416680000000001,0.18935
7,GLM_grid_0_AutoML_20190415_152327_model_1,0.933566,0.21306
